Style #,Item #,Item Description,Unit Price,MSRP,On-hand,WebDescription
FP4053M,FP4053M,Silver Amethyst Pendant (Available In all BirthStones),50,129,54,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Amethyst gemstone."
FP4053O,FP4053O,Silver Opal Pendant ( Available in All Birthstone ),50,129,9,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Opal gemstone."
FP4053P,FP4053P,Silver Peridot Pendant ( Available in All Birthstone ),50,129,22,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Peridot gemstone."
FP4053PL,FP4053PL,Silver Pearl Pendant ( Available in All Birthstone ),50,129,10,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Pearl gemstone."
FP4053R,FP4053R,Silver Ruby Pendant ( Available in All Birthstone ),75,189,17,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Ruby gemstone."
FP4053S,FP4053S,Silver Blue Sapphire Pendant,75,189,11,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single Sapphire gemstone."
FP4053WT,FP4053WT,Silver White Topaz Pendant,50,129,20,"Crafted in Silver, this simple birthstone pendant necklace features a curved metal pendant set with a single White Topaz gemstone."
FP4062EWA,FP4062EWA,14K Emerald & Diamond Pendant,400,799,3,This 14K Emerald and Diamond pendant features a 1/2 ct Emerald surrounded by 12 diamonds weighing 1/5 ctw.
FP4062EWB,FP4062EWB,14K Emerald & Diamond Pendant,400,999,2,This 14K Emerald and Diamond pendant features a 1/2 ct Emerald surrounded by 12 diamonds weighing 1/5 ctw.
FP4062RWB,FP4062RWB,14K Ruby & Diamond Pendant,400,999,4,This 14K Ruby and Diamond pendant features a 1/2 ct Ruby surrounded by 12 diamonds weighing 1/5 ctw.
FP4062SWA,FP4062SWA,14K Sapphire & Diamond Pendant,400,799,1,This 14K Sapphire and Diamond pendant features a 1/2 ct Sapphire surrounded by 12 diamonds weighing 1/5 ctw.
FP4062SWB,FP4062SWB,14K Sapphire & Diamond Pendant,400,799,1,This 14K Sapphire and Diamond pendant features a 1/2 ct Sapphire surrounded by 12 diamonds weighing 1/5 ctw.
FP4066EWB,FP4066EWB,14K Emerald & Diamond Pendant,900,2249,1,This 14K Emerald and Diamond pendant features a 1/2 ct Emerald surrounded by 9 round-cut diamonds.
FP4066RWB,FP4066RWB,14KW Ruby & Diamond Pendant,900,1799.1818,1,This 14K Ruby and Diamond pendant features a 1/2 ct Ruby surrounded by 9 round-cut diamonds.
FP4099T,FP4099T,Silver Tanzanite & Diamond Pendant,100,249,22,This Silver Tanzanite and Diamond pendant features an oval Tanzanite surrounded by 12 round-cut diamonds.
FP4121,FP4121,14K Diamond Pendant 1/2 ctw,550,1100,30,"This 14K round diamond pendant is set with 34 round-cut diamonds, weighing 1/2 ctw."
FP4126,FP4126,14K Diamond Pendant 1 ctw,1000,2449,11,"This 14K cushion shaped diamond pendant is set with 34 round-cut diamonds, weighing 1/2 ctw."
FP4127,FP4127,14K Diamond Pendant 2 ctw,2000,4999,24,"This 14K cushion shaped diamond pendant is set with 36 round-cut diamonds, weighing 2 ctw."
FP4128,FP4128,14K Diamond Pendant 3 ctw,3000,7499,12,"This 14K cushion shaped diamond pendant is set with 36 round-cut diamonds, weighing 3 ctw."
FP4129,FP4129,14K Diamond Pendant 3/4 ctw,1300,2600,3,"This 14K cushion shaped diamond pendant is set with 36 round-cut diamonds, weighing 3 ctw."
FP4130,FP4130,14KW/P Diamond Pendant 3/4 ctw,1300,2600,8,"This 14K cushion shaped diamond pendant is set with 36 round-cut diamonds, weighing 3 ctw."
FP4132,FP4132,14KTT Diamond Pendant 1/3 ctw,500,1249,6,This two-tone 14K diamond pendant is set with 30 round-cut diamonds and 5 baguette cut diamonds. Diamond weight is 1/3 ctw.
FP4133,FP4133,14K Diamond Pendant 1/2 ctw,700,1749,16,This two-tone 14K diamond pendant is set with 30 round-cut diamonds and 5 baguette cut diamonds. Diamond weight is 1/2 ctw.
FP4135,FP4135,Silver Diamond Pendant,50,129,48,This Silver diamond pendant is set with 7 round-cut diamonds. Diamond weight is 1/20 ctw.
FP4138B,FP4138B,Silver Blue Topaz & Diamond Pendant,75,189,17,This Silver and Blue Topaz pendant features a 2 ct. Blue Topaz surrounded by round-cut CZ gemstones.
FP4139RDF,FP4139RDF,Silver Diamond Pendant,75,150,11,This Silver Rese de France pendant is set with a Rese de France and accented with CZ gemstones.
FP4141LQZ,FP4141LQZ,Silver Lemon Quartz Pendant,50,129,18,This Silver fashion pendant is set with a Lemon Quartz surrounded by CZ gemstones.
FP4142C,FP4142C,Silver Citrine Pendant,100,249,19,This Silver fashion pendant is set with a Citrine gemstone surrounded by CZ gemstones.
FP4143B,FP4143B,Silver with Round Blue Topaz Pendant,75,189,2,This Silver fashion pendant is set with a Blue Topaz surrounded by CZ gemstones.
FP4144M,FP4144M,Silver with Oval Amethyst Pendant,75,189,12,This Silver fashion pendant is set with a Amethyst surrounded by CZ gemstones.
